Authors,"Sub-specialty, Nature of incidence",Task Description,Task Achieved,Sample Size,Study Setting,Model Proposed,Base Model,Prediction Performance,95% CI,"Domain Standard
Model",Domain Standard Base Model,Major Challenges Faced,Challenges Classified,ROB
"Luo et al., 2022 (14)","Risk-model, Postoperative",30-days mortality,Mortality prediction and risk classification,476,Retrospective,XGBoost (AUC),XGBoost,0.81,0.67-0.93,"EuroSCORE II 0.63,(0.47–0.76)",EuroSCORE II,Might overestimate the probability of early mortality when the predicted probability was >30%,Issues with model performance and calibration,low
"Kim et al., 2022
(15)","Observational model, Postoperative",Postoperative complication 4 hours prior prediction,Postoperative complications prediction ,Not mentioned,Retrospective,RF (AUC),RF,0.93,,SOFA 0.90 ,SOFA,"Likely due to smaller sample size, the SDs of AUROCs of the models tend to be higher than the training set",Small sample size problem,unclear
"Kageyama et al., 2024
(16)","Risk-model, Postoperative",5-year mortality in patients with CABG or PCI for severe CAD,Mortality prediction and risk classification,1035,Retrospective,"LASSO, Univariable and multivariable Cox regression
(AUC)",Cox Regression,0.94,,Syntax Score 2020 0.763 ,Syntax Score,Lack of continuous updating of information may limit the generalizability of our findings to a rapidly evolving future practice,Issues with model performance and calibration,low
"Tadege et al., 2024
(18)","Risk-model, Postoperative",Long-term survival of cardiac surgery patients,Mortality prediction and risk classification,1520,Retrospective,"Random Survival Forest
(Mean Cross-Validation Score)",RF,0.83,,,,N/A,No specific challenge mentioned,low
"Temple et al., 2015
(19)","Observational model, Postoperative",Days to discharge from NICU,Hospital LoS and readmission prediction,4693,Retrospective,"RF
(AUC)",RF,0.86,,,,Extracting certain features from electronic medical record systems is challenging,Issues with feature selection and variable handling,low
"Sanger et al., 2016
(21)","Observational model, Postoperative",Surgical site infection assessment,Perioperative management,851,Prospective,"Naïve Bayes classifiers
(AUC)",Naïve Bayes,0.749,,"Standard model used only baseline features
0.634",Unspecified,Several key indicators of SSI are not included in standard procedure (limitations in feature selection),Poor data quality,low
"Allyn et al., 2017
(22)","Risk-model, Postoperative",Prediction of mortality in-hospital after elective cardiac surgery,Mortality prediction and risk classification,"6,520",Retrospective,"Greedy ensemble (GBM, RF, Support vector machine, and Naïve Bayes)
(AUC)",Ensemble Models,0.795,0.755–0.834,EuroSCORE II 0.737 (0.691–0.783),EuroSCORE II,"monocentric study, which limits the extrapolation of ML model in another cardiac surgery center.",Generalizability and validation,low
"Jalali et al., 2018
(23)","Observational model, Postoperative",PVL predictive decision support tool (patient adaptable classifiers) combining feature ranking,decision support tools,71,Retrospective,"SVM 
(F score)",SVM,"0.88 (HLHS)
1.00 (Non-HLHS)",,,,Number of sample is not sufficiently large compared to number of features,Small sample size problem,low
"Meyer A et al., 2018
(24)","Risk-model, Postoperative","Predicting bleeding, mortality, and renal failure in cardiothoracic critical care",Postoperative complications prediction ,"11,492",Retrospective,"RNN
(AUC)",Deep Learning Models,0.91,,KIDIGO 0.72,KIDIGO,"Lackings in data collection technique, noise, mismatches, contradictions, annotation errors, and omissions in clinical data.",Issues with feature selection and variable handling,low
"Huang L et al., 2020
(25)","Risk-model, Postoperative",predicting low and high risks of mPAP > 15 mmHg based on perioperative CT,Mortality prediction and risk classification,96,Retrospective,"RF
(AUC)",RF,0.787,0.780–0.794,,,A relatively lower amount of sample size. Important markers were not able to be included in the model due to a lack of data.,Poor data quality,unclear
